node1,node2,sign
400011,400343,1
400011,400115,-1
400011,400365,-1
400033,400228,1
400033,400283,-1
400077,400115,1
400115,400365,1
400033,400134,1
400228,400239,1
400239,400317,1
400239,400626,1
400239,400343,-1
400095,400239,1
400239,400283,-1
400011,400276,-1
400276,400343,-1
400276,400365,1
400228,400283,-1
400077,400398,1
400109,400300,-1
400170,400263,1
400029,400170,-1
400170,400300,1
400133,400300,-1
400398,400420,1
400398,400421,1
400056,400398,1
400420,400421,1
400050,400064,1
400050,400238,1
400123,400369,1
400123,400173,1
400123,400205,1
400072,400123,1
400123,400338,1
400123,400168,1
400123,400342,1
400016,400123,1
400123,400285,1
400123,400385,1
400238,400323,1
400238,400274,1
400263,400309,1
400064,400263,1
400238,400263,1
400263,400328,-1
400328,400342,1
400328,400385,1
400123,400328,1
400328,400369,1
400205,400333,-1
400064,400333,1
400238,400333,1
400333,400352,1
400123,400333,-1
400227,400333,1
400291,400333,1
400333,400401,-1
400205,400401,1
400123,400401,1
400029,400212,1
400029,400303,1
400029,400168,1
400036,400328,1
400036,400070,1
400036,400626,1
400036,400400,1
400036,400091,1
400036,400385,1
400036,400278,-1
400036,400303,1
400091,400422,-1
400091,400189,-1
400093,400436,1
400103,400436,1
400133,400436,1
400140,400422,1
400118,400170,-1
400170,400436,1
400170,400364,1
400140,400189,1
400303,400364,-1
400036,400334,1
400070,400334,1
400212,400385,1
400272,400436,1
400436,400657,-1
400422,400436,1
400189,400436,1
400364,400436,1
400140,400436,1
400120,400436,1
400070,400626,1
400218,400289,1
400151,400263,-1
400199,400289,1
400208,400289,1
400218,400314,1
400314,400628,1
400314,400361,1
400218,400361,1
400212,400381,1
400071,400381,1
400032,400220,1
400032,400643,1
400032,400651,1
400032,400633,1
400036,400267,1
400036,400407,-1
400036,400643,1
400216,400262,1
400179,400216,1
400216,400436,1
400216,400257,1
400184,400216,1
400216,400267,-1
400103,400216,1
400263,400364,1
400267,400303,1
400267,400334,1
400267,400324,1
400267,400626,1
400385,400626,1
400034,400190,1
400071,400365,1
